song_id_clean,title,artists,genres_clean,mood_category,emotion_label,clean_text,final_text,spotify_url
2plbrEY59IikOBgBGLjaoe,Die With A Smile,"Lady Gaga, Bruno Mars",spotify chart; us top 50,euphoric,joy,,,https://open.spotify.com/track/2plbrEY59IikOBgBGLjaoe
6dOtVTDdiauQNBQEDOtlAB,BIRDS OF A FEATHER,Billie Eilish,spotify chart; au top 50,intense,anger,,,https://open.spotify.com/track/6dOtVTDdiauQNBQEDOtlAB
2qSkIjg1o9h3YT9RAgYN75,Espresso,Sabrina Carpenter,spotify chart; au top 50,euphoric,joy,,,https://open.spotify.com/track/2qSkIjg1o9h3YT9RAgYN75
5N3hjp1WNayUPZrA8kJmJP,Please Please Please,Sabrina Carpenter,spotify chart; ie top 50,euphoric,joy,,,https://open.spotify.com/track/5N3hjp1WNayUPZrA8kJmJP
7fzHQizxTqy8wTXwlrgPQQ,MILLION DOLLAR BABY,Tommy Richman,spotify chart; us top 50,euphoric,joy,,,https://open.spotify.com/track/7fzHQizxTqy8wTXwlrgPQQ
6AI3ezQ4o3HUoP6Dhudph3,Not Like Us,Kendrick Lamar,spotify chart; us top 50,melancholic,sadness,,,https://open.spotify.com/track/6AI3ezQ4o3HUoP6Dhudph3
7ne4VBA60CxGM75vw0EYad,That’s So True,Gracie Abrams,spotify chart; ie top 50,tense,anxiety,,,https://open.spotify.com/track/7ne4VBA60CxGM75vw0EYad
5G2f63n7IPVPPjfNIGih7Q,Taste,Sabrina Carpenter,spotify chart; ie top 50,euphoric,joy,,,https://open.spotify.com/track/5G2f63n7IPVPPjfNIGih7Q
0WbMK4wrZ1wFSty9F7FCgu,"Good Luck, Babe!",Chappell Roan,spotify chart; ie top 50,euphoric,joy,,,https://open.spotify.com/track/0WbMK4wrZ1wFSty9F7FCgu
7221xIgOnuakPdLqT0F3nP,I Had Some Help (Feat. Morgan Wallen),"Post Malone, Morgan Wallen",spotify chart; us top 50,euphoric,joy,,,https://open.spotify.com/track/7221xIgOnuakPdLqT0F3nP
2FQrifJ1N335Ljm3TjTVVf,A Bar Song (Tipsy),Shaboozey,spotify chart; ie top 50,euphoric,joy,,,https://open.spotify.com/track/2FQrifJ1N335Ljm3TjTVVf
2RkZ5LkEzeHGRsmDqKwmaJ,Ordinary,Alex Warren,spotify chart; nz top 50,intense,anger,,,https://open.spotify.com/track/2RkZ5LkEzeHGRsmDqKwmaJ
2u9S9JJ6hTZS3Vf22HOZKg,NOKIA,Drake,spotify chart; us top 50,euphoric,joy,,,https://open.spotify.com/track/2u9S9JJ6hTZS3Vf22HOZKg
